model,mean_corrupted_accuracy,min_corrupted_accuracy,mean_corrupted_f1,mean_accuracy_drop,max_accuracy_drop,mean_f1_drop
cnn,0.7205241379310344,0.2179,0.6981845594677071,0.1758758620689655,0.6785,0.19591153912733103
mlp,0.6745241379310345,0.1,0.6534328026975393,0.18847586206896552,0.763,0.206113355224206
svm,0.4888344827586207,0.1,0.4513807851833295,0.3772655172413793,0.7661,0.41384988777664483
