model,corruption,severity,accuracy,f1_macro,accuracy_drop,f1_drop
mlp,occlusion,8.0,0.6834,0.660867624057984,0.17959999999999998,0.19867853386376122
mlp,occlusion,10.0,0.6519,0.6154434902930914,0.21109999999999995,0.24410266762865385
mlp,occlusion,14.0,0.6005,0.5501257109876303,0.26249999999999996,0.30942044693411497
cnn,clean,0.0,0.8964,0.8940960985950381,0.0,0.0
cnn,noise,0.05,0.8885,0.8877323997491363,0.007900000000000018,0.006363698845901822
cnn,noise,0.1,0.8647,0.8653709272549712,0.03169999999999995,0.028725171340066913
cnn,noise,0.15,0.8192,0.8185421564786409,0.07719999999999994,0.07555394211639721
cnn,noise,0.2,0.7513,0.7473892894309557,0.1451,0.1467068091640824
cnn,noise,0.3,0.5167,0.501705380156552,0.3796999999999999,0.39239071843848616
cnn,rotation,5.0,0.877,0.8718298422862036,0.019399999999999973,0.022266256308834498
cnn,rotation,10.0,0.847,0.8395320264557176,0.0494,0.054564072139320574
cnn,rotation,20.0,0.6241,0.6205934249071251,0.2723,0.27350267368791303
cnn,rotation,30.0,0.3628,0.31407032104098925,0.5336,0.5800257775540489
cnn,rotation,45.0,0.2179,0.17442432625548382,0.6785,0.7196717723395543
cnn,blur,3.0,0.8489,0.8376144022893455,0.04749999999999999,0.056481696305692664
cnn,blur,5.0,0.7997,0.779497387563358,0.09670000000000001,0.11459871103168018
cnn,blur,7.0,0.7157,0.6772885915891955,0.18069999999999997,0.21680750700584261
cnn,blur,9.0,0.6551,0.6025513003476414,0.24129999999999996,0.29154479824739676
cnn,contrast,0.9,0.8903,0.8882572284041264,0.006099999999999994,0.005838870190911782
cnn,contrast,0.7,0.8478,0.8450038956148849,0.04859999999999998,0.049092202980153266
cnn,contrast,0.5,0.785,0.7757967402179591,0.11139999999999994,0.11829935837707906
cnn,contrast,0.3,0.6414,0.5903500061423212,0.255,0.3037460924527169
cnn,contrast,0.15,0.4223,0.3266952197973233,0.47409999999999997,0.5674008787977148
cnn,brightness,0.3,0.8147,0.7997437861748046,0.0817,0.09435231242023356
cnn,brightness,0.5,0.8719,0.8677423831283557,0.024499999999999966,0.026353715466682415
cnn,brightness,0.7,0.8906,0.8878286479186268,0.005800000000000027,0.006267450676411324
cnn,brightness,1.3,0.8893,0.8867344117351775,0.007099999999999995,0.0073616868598606056
cnn,brightness,1.6,0.8832,0.8801153217241582,0.01319999999999999,0.013980776870879952
cnn,occlusion,4.0,0.8222,0.8163320368651007,0.07419999999999993,0.07776406172993744
cnn,occlusion,6.0,0.6479,0.6113593521275862,0.24849999999999994,0.28273674646745195
cnn,occlusion,8.0,0.6184,0.574322675696533,0.278,0.3197734228985052
cnn,occlusion,10.0,0.5768,0.5241853418675226,0.3196,0.3699107567275155
cnn,occlusion,14.0,0.5048,0.43474340134371003,0.39159999999999995,0.4593526972513281
