model,mean_shifted_accuracy,min_shifted_accuracy,mean_shifted_f1,mean_accuracy_drop,max_accuracy_drop,mean_confidence,mean_error_confidence,mean_entropy
cnn,0.7129,0.2419,0.69846310720979,0.18349999999999997,0.6545,0.7743311643600463,0.5871033012866974,0.6202680826187134
mlp,0.55146,0.0919,0.5293127141032016,0.31154000000000004,0.7711,0.8171807050704956,0.686628007888794,0.5266571387648582
svm,0.50176,0.1,0.46689784822289776,0.36474000000000006,0.7665000000000001,0.75676337333401,0.6471263193830693,0.825138211397977
