model,accuracy,precision_macro,recall_macro,f1_macro,mean_confidence,correct_confidence,error_confidence,mean_entropy,mean_normalized_entropy,mean_margin,high_confidence_error_rate_090,n_samples,n_correct,n_errors,clean_accuracy,clean_f1_macro,generalization_gap_accuracy,generalization_gap_f1_macro,inference_seconds,inference_ms_per_sample,raw_accuracy,raw_f1_macro,canonicalization_recovery_accuracy,canonicalization_recovery_f1_macro,gap_recovery_ratio_accuracy,gap_recovery_ratio_f1_macro
svm,0.40336134453781514,0.35042840687577526,0.39745936655000585,0.3539909924009151,0.5704668077986358,0.6963553636159651,0.48535905175311733,1.2944813816313667,0.5621861209689999,0.4076853470503563,0.02100840336134454,238,96,142,0.8661,0.8652,0.46273865546218484,0.5112090075990849,3.215030999999726,13.508533613444227,0.134453781512605,0.0237037037037037,0.26890756302521013,0.33028728869721136,0.36753769271322073,0.3924999909695563
mlp,0.3907563025210084,0.3619109365253671,0.4272155828065511,0.3652836516514963,0.5850035021484565,0.640941442922546,0.5491260642726613,1.1572596514414368,0.5025914807502966,0.40548013447700615,0.06722689075630252,238,93,145,0.863,0.8595,0.4722436974789916,0.49421634834850375,0.5679678000160493,2.3864193277985266,0.1470588235294117,0.0615601503759398,0.24369747899159672,0.3037235012755565,0.3403875723323592,0.3806345821914423
cnn,0.4327731092436975,0.43915452275143696,0.43671298619966176,0.3942912538794488,0.7505448769437081,0.7508127296275058,0.7503405152664403,0.7478680544874664,0.32479496925562706,0.6222964264149035,0.19747899159663865,238,103,135,0.8964,0.8941,0.4636268907563025,0.4998087461205512,0.9152609999873675,3.8456344537284353,0.1932773109243697,0.0923630990857881,0.2394957983193278,0.3019281547936607,0.3406173659879817,0.3765925635322202
