model,accuracy,precision_macro,recall_macro,f1_macro,mean_confidence,correct_confidence,error_confidence,mean_entropy,mean_normalized_entropy,mean_margin,high_confidence_error_rate_090,n_samples,n_correct,n_errors,clean_accuracy,clean_f1_macro,generalization_gap_accuracy,generalization_gap_f1_macro,inference_seconds,inference_ms_per_sample
svm,0.13445378151260504,0.013445378151260503,0.1,0.023703703703703706,0.7158846115117148,0.7158846115117149,0.7158846115117148,1.1000664683089343,0.47775279691336825,0.6255520748823802,0.0,238,32,206,0.8661,0.8652,0.731646218487395,0.8414962962962963,2.887486599996919,12.132296638642517
mlp,0.14705882352941177,0.11367521367521367,0.12307692307692308,0.06156015037593985,0.992073680441387,0.9856578714985637,0.9931798543970463,0.024372938803985337,0.010585032830336474,0.9848781130038283,0.8277310924369747,238,35,203,0.863,0.8595,0.7159411764705882,0.7979398496240602,0.5928437000256963,2.490939916074354
cnn,0.19327731092436976,0.08324272626598207,0.16350806451612904,0.09236309908578817,0.6840850805606405,0.6447388091182128,0.6935117914270558,0.8970466070864532,0.38958239146768103,0.5299177337951342,0.23109243697478993,238,46,192,0.8964,0.8941,0.7031226890756302,0.8017369009142118,0.77769139999873,3.267610924364412
