model,raw_accuracy,raw_f1,raw_confidence,raw_error_confidence,raw_entropy,canonical_accuracy,canonical_f1,canonical_confidence,canonical_error_confidence,canonical_entropy,accuracy_gain,f1_gain
svm,0.1,0.0181818181818181,0.7158846115117148,0.7158846115117148,1.1000664683189338,0.4,0.3529365079365079,0.5779474396066838,0.4877449057110825,1.2623483516169702,0.30000000000000004,0.3347546897546898
mlp,0.05,0.0121212121212121,0.8832830190658569,0.8773373961448669,0.3279597163200378,0.25,0.19158730158730158,0.5885941386222839,0.5412967205047607,1.1684949398040771,0.2,0.1794660894660895
cnn,0.125,0.1068686868686868,0.5004056096076965,0.5158236026763916,1.435222029685974,0.475,0.41384559884559885,0.6843097805976868,0.5492426753044128,0.8828830718994141,0.35,0.30697691197691207
