model,accuracy,f1_macro,mean_confidence,mean_entropy,confidence_on_errors,confidence_on_correct
svm,0.1,0.01818181818181818,0.7158846115117148,1.1000664683189338,0.7158846115117148,0.7158846115117148
mlp,0.05,0.012121212121212121,0.8832830190658569,0.32795971632003784,0.8773373961448669,0.9962497353553772
cnn,0.125,0.10686868686868686,0.5004056096076965,1.4352220296859741,0.5158236026763916,0.3924798369407654
