model,accuracy,precision_macro,recall_macro,f1_macro,mean_confidence,correct_confidence,error_confidence,mean_entropy,mean_normalized_entropy,mean_margin,high_confidence_error_rate_090,n_samples,n_correct,n_errors,clean_accuracy,clean_f1_macro,generalization_gap_accuracy,generalization_gap_f1_macro,inference_seconds,inference_ms_per_sample,raw_accuracy,raw_f1_macro,v2_accuracy,v2_f1_macro,canonicalization_recovery_accuracy,canonicalization_recovery_f1_macro,delta_v3_v2_accuracy,delta_v3_v2_f1_macro,gap_recovery_ratio_accuracy,gap_recovery_ratio_f1_macro
svm,0.29831932773109243,0.2052418500869828,0.22119285656149107,0.1941010213703965,0.576937309116403,0.673704901371536,0.5357965962414661,1.2968796553023587,0.5632276779904057,0.41744833096648915,0.03361344537815126,238,71,167,0.8661,0.8652,0.5677806722689076,0.6710989786296034,3.587822100002086,15.074882773118008,0.134453781512605,0.0237037037037037,0.4033613445378151,0.3539909924009151,0.16386554621848742,0.1703973176666928,-0.10504201680672265,-0.15988997103051858,0.2239682814971189,0.2024932473460285
mlp,0.31092436974789917,0.2102843537704299,0.2712118365482876,0.22170987430766625,0.6485397420913964,0.6921047719560515,0.6288823505671008,0.9946967588388659,0.4319913135307691,0.4870492700645256,0.13865546218487396,238,74,164,0.863,0.8595,0.5520756302521008,0.6377901256923337,0.9044087000074796,3.8000365546532757,0.1470588235294117,0.0615601503759398,0.3907563025210084,0.3652836516514963,0.16386554621848748,0.16014972393172644,-0.07983193277310924,-0.14357377734383003,0.22888129863727605,0.2007040054550215
cnn,0.31512605042016806,0.22468590831918506,0.2515781423804227,0.21007085020242916,0.7195947573451874,0.7153533090032242,0.7215463440055999,0.7955079250821797,0.345484702173496,0.5817439842106533,0.2647058823529412,238,75,163,0.8964,0.8941,0.5812739495798319,0.6840291497975708,1.6959512000030372,7.125845378164022,0.1932773109243697,0.0923630990857881,0.4327731092436975,0.3942912538794488,0.12184873949579836,0.11770775111664106,-0.11764705882352944,-0.18422040367701964,0.17329655462546437,0.14681593298552204
